GW1,GW2,GW3,Setor
-77,-90,-90,c1_s1
-78,-93,-91,c1_s1
-76,-93,-93,c1_s1
-76,-94,-89,c1_s1
-77,-90,-89,c1_s1
-78,-90,-91,c1_s1
-77,-85,-89,c1_s1
-76,-91,-88,c1_s1
-76,-92,-89,c1_s1
-76,-85,-90,c1_s1
-77,-92,-89,c1_s1
-78,-90,-88,c1_s1
-78,-83,-90,c1_s1
-76,-91,-89,c1_s1
-76,-89,-87,c1_s1
-76,-87,-89,c1_s1
-77,-91,-89,c1_s1
-76,-82,-87,c1_s1
-77,-92,-90,c1_s1
-78,-83,-89,c1_s1
-78,-90,-90,c1_s1
-76,-90,-90,c1_s1
-76,-90,-94,c1_s1
-78,-90,-90,c1_s1
-78,-90,-88,c1_s1
-75,-90,-89,c1_s1
-78,-90,-89,c1_s1
-77,-89,-90,c1_s1
-76,-91,-91,c1_s1
-77,-90,-90,c1_s1
-77,-93,-89,c1_s1
-78,-90,-89,c1_s1
-77,-91,-89,c1_s1
-76,-92,-88,c1_s1
-79,-95,-88,c1_s1
-77,-88,-92,c1_s1
-76,-88,-88,c1_s1
-77,-90,-92,c1_s1
-77,-92,-91,c1_s1
-78,-90,-90,c1_s1
-76,-91,-89,c1_s1
-78,-90,-90,c1_s1
-78,-91,-88,c1_s1
-77,-91,-91,c1_s1
-77,-90,-89,c1_s1
-76,-85,-92,c1_s1
-76,-83,-87,c1_s1
-76,-88,-91,c1_s1
-78,-88,-89,c1_s1
-78,-90,-89,c1_s1
-76,-89,-90,c1_s1
-77,-92,-90,c1_s1
-78,-82,-90,c1_s1
-76,-91,-88,c1_s1
-78,-90,-90,c1_s1
-77,-92,-88,c1_s1
-77,-89,-88,c1_s1
-76,-92,-89,c1_s1
-76,-92,-90,c1_s1
-78,-87,-90,c1_s1
-77,-94,-91,c1_s1
-79,-86,-88,c1_s1
-78,-83,-90,c1_s1
-77,-91,-87,c1_s1
-77,-88,-88,c1_s1
-78,-91,-89,c1_s1
-78,-83,-92,c1_s1
-76,-83,-89,c1_s1
-76,-90,-90,c1_s1
-78,-91,-89,c1_s1
-75,-91,-89,c1_s1
-77,-89,-89,c1_s1
-77,-91,-88,c1_s1
-78,-91,-89,c1_s1
-76,-86,-92,c1_s1
-76,-89,-89,c1_s1
-77,-88,-88,c1_s1
-77,-90,-88,c1_s1
-76,-92,-89,c1_s1
-76,-89,-94,c1_s1
-76,-90,-89,c1_s1
-76,-91,-88,c1_s1
-78,-91,-89,c1_s1
-67,-89,-91,c1_s1
-77,-92,-90,c1_s1
-76,-92,-93,c1_s1
-76,-92,-90,c1_s1
-77,-91,-93,c1_s1
-78,-93,-92,c1_s1
-76,-90,-90,c1_s1
-76,-82,-89,c1_s1
-76,-91,-89,c1_s1
-77,-90,-87,c1_s1
-77,-90,-89,c1_s1
-77,-92,-89,c1_s1
-77,-91,-91,c1_s1
-77,-90,-90,c1_s1
-77,-83,-90,c1_s1
-76,-91,-89,c1_s1
-77,-91,-89,c1_s1
-77,-91,-87,c1_s1
-76,-90,-87,c1_s1
-78,-93,-92,c1_s1
-76,-90,-89,c1_s1
-76,-93,-89,c1_s1
-77,-89,-89,c1_s1
-76,-91,-87,c1_s1
-76,-91,-90,c1_s1
-76,-92,-91,c1_s1
-78,-91,-90,c1_s1
-76,-89,-91,c1_s1
-77,-90,-95,c1_s1
-67,-91,-89,c1_s1
-77,-91,-89,c1_s1
-78,-90,-89,c1_s1
-78,-90,-89,c1_s1
-78,-90,-90,c1_s1
-76,-83,-90,c1_s1
-77,-84,-89,c1_s1
-76,-92,-88,c1_s1
-76,-89,-90,c1_s1
-76,-92,-90,c1_s1
-76,-93,-88,c1_s1
-77,-91,-90,c1_s1
-77,-91,-89,c1_s1
-77,-91,-89,c1_s1
-76,-90,-87,c1_s1
-78,-89,-88,c1_s1
-77,-91,-91,c1_s1
-76,-83,-89,c1_s1
-77,-90,-90,c1_s1
-78,-83,-89,c1_s1
-77,-92,-91,c1_s1
-77,-89,-89,c1_s1
-78,-84,-92,c1_s1
-75,-89,-90,c1_s1
-77,-89,-87,c1_s1
-78,-90,-89,c1_s1
-78,-89,-93,c1_s1
-77,-87,-89,c1_s1
-75,-91,-88,c1_s1
-77,-90,-87,c1_s1
-77,-82,-90,c1_s1
-76,-89,-89,c1_s1
-76,-89,-87,c1_s1
-77,-88,-89,c1_s1
-76,-92,-89,c1_s1
-76,-90,-88,c1_s1
-76,-90,-90,c1_s1
-77,-90,-90,c1_s1
-76,-88,-91,c1_s1
-77,-91,-88,c1_s1
-77,-91,-87,c1_s1
-77,-90,-89,c1_s1
-76,-90,-86,c1_s1
-76,-90,-88,c1_s1
-77,-89,-87,c1_s1
-77,-90,-90,c1_s1
-76,-92,-89,c1_s1
-77,-91,-88,c1_s1
-76,-89,-89,c1_s1
-77,-91,-87,c1_s1
-76,-89,-91,c1_s1
-77,-91,-87,c1_s1
-76,-87,-91,c1_s1
-76,-93,-90,c1_s1
-76,-91,-88,c1_s1
-76,-88,-88,c1_s1
-78,-91,-87,c1_s1
-76,-93,-86,c1_s1
-77,-89,-89,c1_s1
-76,-89,-91,c1_s1
-78,-91,-89,c1_s1
-77,-89,-89,c1_s1
-76,-90,-92,c1_s1
-77,-82,-88,c1_s1
-75,-91,-88,c1_s1
-75,-82,-88,c1_s1
-76,-90,-89,c1_s1
-77,-90,-88,c1_s1
-76,-89,-89,c1_s1
-76,-83,-90,c1_s1
-76,-90,-89,c1_s1
-77,-90,-89,c1_s1
-76,-90,-89,c1_s1
-77,-90,-90,c1_s1
-76,-89,-89,c1_s1
-77,-90,-88,c1_s1
-75,-90,-90,c1_s1
-77,-89,-90,c1_s1
-76,-90,-89,c1_s1
-76,-89,-88,c1_s1
-77,-92,-92,c1_s1
-75,-89,-89,c1_s1
-69,-82,-90,c1_s1
-76,-82,-90,c1_s1
-76,-90,-88,c1_s1
-75,-91,-89,c1_s1
-77,-91,-87,c1_s1
-75,-92,-89,c1_s1
-76,-90,-88,c1_s1
-77,-90,-91,c1_s1
-76,-91,-91,c1_s1
-76,-88,-91,c1_s1
-77,-93,-92,c1_s1
-75,-82,-88,c1_s1
-78,-90,-89,c1_s1
-77,-89,-88,c1_s1
-77,-90,-88,c1_s1
-77,-90,-92,c1_s1
-77,-94,-92,c1_s1
-77,-90,-89,c1_s1
-76,-89,-89,c1_s1
-76,-90,-89,c1_s1
-77,-90,-91,c1_s1
-75,-91,-88,c1_s1
-76,-89,-87,c1_s1
-77,-89,-91,c1_s1
-77,-88,-89,c1_s1
-76,-88,-89,c1_s1
-75,-88,-93,c1_s1
-75,-91,-90,c1_s1
-76,-89,-91,c1_s1
-76,-93,-88,c1_s1
-75,-92,-89,c1_s1
-77,-92,-87,c1_s1
-76,-89,-89,c1_s1
-77,-90,-88,c1_s1
-76,-91,-89,c1_s1
-76,-90,-89,c1_s1
-77,-93,-89,c1_s1
-76,-90,-90,c1_s1
-76,-89,-89,c1_s1
-77,-88,-89,c1_s1
-77,-92,-89,c1_s1
-77,-89,-92,c1_s1
-76,-91,-89,c1_s1
-76,-90,-91,c1_s1
-75,-92,-87,c1_s1
-76,-93,-88,c1_s1
