GW1,GW2,GW3,Setor
-77,-90,-90,c1_s1
-78,-93,-91,c1_s1
-76,-93,-93,c1_s1
-76,-94,-89,c1_s1
-77,-90,-89,c1_s1
-78,-90,-91,c1_s1
-77,-85,-89,c1_s1
-76,-91,-88,c1_s1
-76,-92,-89,c1_s1
-76,-85,-90,c1_s1
-77,-92,-89,c1_s1
-78,-90,-88,c1_s1
-78,-83,-90,c1_s1
-76,-91,-89,c1_s1
-76,-89,-87,c1_s1
-76,-87,-89,c1_s1
-77,-91,-89,c1_s1
-76,-82,-87,c1_s1
-77,-92,-90,c1_s1
-78,-83,-89,c1_s1
-78,-90,-90,c1_s1
-76,-90,-90,c1_s1
-76,-90,-94,c1_s1
-78,-90,-90,c1_s1
-78,-90,-88,c1_s1
-75,-90,-89,c1_s1
-78,-90,-89,c1_s1
-77,-89,-90,c1_s1
-76,-91,-91,c1_s1
-77,-90,-90,c1_s1
-77,-93,-89,c1_s1
-78,-90,-89,c1_s1
-77,-91,-89,c1_s1
-76,-92,-88,c1_s1
-79,-95,-88,c1_s1
-77,-88,-92,c1_s1
-76,-88,-88,c1_s1
-77,-90,-92,c1_s1
-77,-92,-91,c1_s1
-78,-90,-90,c1_s1
-76,-91,-89,c1_s1
-78,-90,-90,c1_s1
-78,-91,-88,c1_s1
-77,-91,-91,c1_s1
-77,-90,-89,c1_s1
-76,-85,-92,c1_s1
-76,-83,-87,c1_s1
-76,-88,-91,c1_s1
-78,-88,-89,c1_s1
-78,-90,-89,c1_s1
-76,-89,-90,c1_s1
-77,-92,-90,c1_s1
-78,-82,-90,c1_s1
-76,-91,-88,c1_s1
-78,-90,-90,c1_s1
-77,-92,-88,c1_s1
-77,-89,-88,c1_s1
-76,-92,-89,c1_s1
-76,-92,-90,c1_s1
-78,-87,-90,c1_s1
-77,-94,-91,c1_s1
-79,-86,-88,c1_s1
-78,-83,-90,c1_s1
-77,-91,-87,c1_s1
-77,-88,-88,c1_s1
-78,-91,-89,c1_s1
-78,-83,-92,c1_s1
-76,-83,-89,c1_s1
-76,-90,-90,c1_s1
-78,-91,-89,c1_s1
-75,-91,-89,c1_s1
-77,-89,-89,c1_s1
-77,-91,-88,c1_s1
-78,-91,-89,c1_s1
-76,-86,-92,c1_s1
-76,-89,-89,c1_s1
-77,-88,-88,c1_s1
-77,-90,-88,c1_s1
-76,-92,-89,c1_s1
-76,-89,-94,c1_s1
-76,-90,-89,c1_s1
-76,-91,-88,c1_s1
-78,-91,-89,c1_s1
-67,-89,-91,c1_s1
-77,-92,-90,c1_s1
-76,-92,-93,c1_s1
-76,-92,-90,c1_s1
-77,-91,-93,c1_s1
-78,-93,-92,c1_s1
-76,-90,-90,c1_s1
-76,-82,-89,c1_s1
-76,-91,-89,c1_s1
-77,-90,-87,c1_s1
-77,-90,-89,c1_s1
-77,-92,-89,c1_s1
-77,-91,-91,c1_s1
-77,-90,-90,c1_s1
-77,-83,-90,c1_s1
-76,-91,-89,c1_s1
-77,-91,-89,c1_s1
-89,-81,-81,c1_s2
-90,-81,-82,c1_s2
-87,-82,-92,c1_s2
-88,-81,-81,c1_s2
-90,-82,-93,c1_s2
-88,-79,-92,c1_s2
-88,-82,-90,c1_s2
-88,-81,-81,c1_s2
-89,-81,-93,c1_s2
-88,-82,-90,c1_s2
-91,-81,-81,c1_s2
-88,-81,-81,c1_s2
-87,-82,-89,c1_s2
-88,-82,-91,c1_s2
-89,-83,-91,c1_s2
-90,-82,-81,c1_s2
-90,-81,-81,c1_s2
-88,-82,-81,c1_s2
-89,-82,-81,c1_s2
-89,-82,-81,c1_s2
-89,-83,-81,c1_s2
-87,-78,-93,c1_s2
-88,-82,-81,c1_s2
-87,-82,-80,c1_s2
-90,-81,-81,c1_s2
-89,-81,-81,c1_s2
-88,-83,-91,c1_s2
-89,-79,-93,c1_s2
-89,-81,-90,c1_s2
-90,-84,-81,c1_s2
-89,-81,-90,c1_s2
-88,-82,-96,c1_s2
-89,-81,-93,c1_s2
-89,-81,-82,c1_s2
-89,-82,-91,c1_s2
-90,-81,-95,c1_s2
-91,-81,-80,c1_s2
-87,-82,-93,c1_s2
-88,-81,-81,c1_s2
-88,-82,-82,c1_s2
-90,-81,-93,c1_s2
-88,-82,-90,c1_s2
-88,-82,-81,c1_s2
-89,-82,-81,c1_s2
-88,-78,-89,c1_s2
-87,-83,-81,c1_s2
-88,-82,-96,c1_s2
-88,-82,-81,c1_s2
-89,-81,-88,c1_s2
-90,-79,-91,c1_s2
-93,-79,-92,c1_s2
-92,-81,-93,c1_s2
-89,-83,-91,c1_s2
-89,-82,-80,c1_s2
-87,-82,-81,c1_s2
-88,-82,-90,c1_s2
-88,-82,-89,c1_s2
-89,-83,-81,c1_s2
-87,-83,-81,c1_s2
-90,-83,-80,c1_s2
-88,-84,-90,c1_s2
-88,-82,-81,c1_s2
-87,-80,-81,c1_s2
-88,-81,-81,c1_s2
-88,-82,-80,c1_s2
-89,-81,-92,c1_s2
-87,-81,-81,c1_s2
-88,-83,-82,c1_s2
-87,-83,-90,c1_s2
-86,-81,-81,c1_s2
-89,-81,-81,c1_s2
-90,-80,-92,c1_s2
-89,-84,-89,c1_s2
-87,-83,-81,c1_s2
-90,-84,-81,c1_s2
-88,-83,-81,c1_s2
-89,-83,-91,c1_s2
-89,-84,-92,c1_s2
-87,-80,-91,c1_s2
-88,-78,-97,c1_s2
-90,-83,-81,c1_s2
-88,-80,-81,c1_s2
-87,-80,-81,c1_s2
-89,-81,-95,c1_s2
-89,-81,-95,c1_s2
-88,-84,-81,c1_s2
-87,-83,-81,c1_s2
-88,-83,-81,c1_s2
-90,-79,-89,c1_s2
-88,-83,-80,c1_s2
-88,-80,-93,c1_s2
-86,-80,-82,c1_s2
-90,-81,-81,c1_s2
-89,-85,-81,c1_s2
-88,-79,-82,c1_s2
-88,-81,-80,c1_s2
-89,-84,-89,c1_s2
-90,-84,-81,c1_s2
-89,-81,-81,c1_s2
-87,-83,-81,c1_s2
-85,-89,-71,c1_s3
-86,-90,-71,c1_s3
-85,-89,-71,c1_s3
-85,-89,-71,c1_s3
-85,-90,-72,c1_s3
-85,-89,-71,c1_s3
-84,-88,-71,c1_s3
-85,-91,-71,c1_s3
-85,-89,-71,c1_s3
-87,-91,-71,c1_s3
-85,-90,-71,c1_s3
-86,-89,-71,c1_s3
-87,-90,-71,c1_s3
-86,-91,-71,c1_s3
-86,-89,-71,c1_s3
-86,-91,-71,c1_s3
-85,-92,-71,c1_s3
-85,-90,-72,c1_s3
-85,-89,-71,c1_s3
-84,-90,-72,c1_s3
-84,-91,-71,c1_s3
-85,-90,-71,c1_s3
-86,-88,-71,c1_s3
-85,-88,-72,c1_s3
-85,-90,-71,c1_s3
-84,-88,-71,c1_s3
-86,-89,-71,c1_s3
-85,-88,-71,c1_s3
-85,-89,-71,c1_s3
-86,-88,-71,c1_s3
-85,-90,-71,c1_s3
-87,-89,-71,c1_s3
-85,-89,-71,c1_s3
-86,-90,-71,c1_s3
-85,-92,-71,c1_s3
-84,-91,-71,c1_s3
-87,-89,-71,c1_s3
-87,-91,-71,c1_s3
-85,-88,-72,c1_s3
-85,-90,-71,c1_s3
